word,frequency,percentage
learned,16512,1.5742191112411943
gilgit,14239,1.3575161049517543
chief,10945,1.0434731209141759
..,9137,0.8711022298577273
page,8746,0.8338251179091258
order,8381,0.7990267908982831
-baltistan,8258,0.7873002313850401
appeal,7337,0.6994940418590506
muhammad,5984,0.5705018872133786
law,5848,0.5575359352312563
also,5792,0.552197013826853
petition,5608,0.5346548434980994
judge,5456,0.5201634854004334
fc,5453,0.519877471753769
impugned,5305,0.5057674651849889
accused,5072,0.4835537386273824
--,5060,0.48240968404072454
said,4256,0.40575802673464895
counsel,4242,0.4044232963835481
district,4116,0.3924107232236408
advocate,4108,0.39164802016586886
civil,4053,0.38640443664368707
general,3976,0.3790634197126325
pakistan,3942,0.375821931717102
government,3932,0.37486855289488713
may,3772,0.3596144917394492
trial,3435,0.32748562543080806
filed,3362,0.3205259600286395
service,3333,0.31776116144421634
police,3284,0.3130896052153635
present,3260,0.3108014960420478
ali,3125,0.29793088194214706
record,2989,0.2849649299600248
vide,2770,0.2640859337535192
authority,2752,0.2623698518735324
person,2745,0.26170248669798196
shall,2673,0.25483815917803493
khan,2659,0.2535034288269341
...,2624,0.250166602949182
state,2618,0.24959457565585313
leave,2600,0.24787849377586635
rule,2598,0.2476878180114234
without,2582,0.2461624118958796
date,2578,0.24578106036699365
right,2555,0.2435882890758994
hussain,2554,0.24349295119367795
appellate,2524,0.24063281472703335
prosecution,2523,0.24053747684481186
hearing,2517,0.23996544955148294
pw,2414,0.2301456476826698
department,2412,0.2299549719182268
officer,2406,0.22938294462489786
secretary,2340,0.22309064439827972
matter,2322,0.221374562518293
well,2320,0.22118388675384995
fact,2319,0.2210885488716285
would,2309,0.2201351700494136
party,2294,0.21870510181609132
view,2283,0.21765638511165494
statement,2249,0.2144148971161244
submits,2237,0.21327084252946654
dismissed,2203,0.210029354533936
court,2176,0.20745523171395586
time,2163,0.20621583924507653
made,2149,0.20488110889397568
hc,2148,0.20478577101175421
baltistan,2147,0.20469043312953272
one,2134,0.2034510406606534
judicial,2059,0.19630069949404186
criminal,2042,0.1946799554962766
post,2025,0.1930592114985113
others,1978,0.1885783310341014
power,1965,0.18733893856522207
legal,1945,0.18543218092079233
deceased,1937,0.18466947786302043
application,1923,0.1833347475119196
per,1918,0.18285805810081218
area,1918,0.18285805810081218
writ,1903,0.1814279898674899
upon,1900,0.1811419762208254
public,1842,0.17561237905197916
report,1824,0.1738962971719924
suit,1792,0.17084548494090482
therefore,1792,0.17084548494090482
land,1786,0.1702734576475759
jurisdiction,1773,0.16903406517869657
aside,1631,0.15549608590324537
heard,1616,0.1540660176699231
constitution,1600,0.1525406115543793
offence,1583,0.15091986755661402
within,1581,0.15072919179217104
basis,1569,0.1495851372055132
question,1531,0.1459622976810967
set,1522,0.1451042567411033
submitted,1519,0.14481824309443883
office,1491,0.14214878239223722
occurrence,1491,0.14214878239223722
son,1489,0.14195810662779423
term,1486,0.1416720929811298
could,1474,0.14052803839447192
witness,1454,0.1386212807500422
allowed,1445,0.13776323981004882
hence,1436,0.13690519887005542
